x	y	divider_dec	real_dec	divider_bin	real_bin	error
1.3799999952316284	1.0	1.3799997568130493	1.3799999952316284	+1.011000010100011110101010	+1.011000010100011110101110	3
1.3899999856948853	1.0	1.3899997472763062	1.3899999856948853	+1.011000111101011100000110	+1.011000111101011100001010	4
1.399999976158142	1.0	1.3999997973442078	1.399999976158142	+1.011001100110011001100011	+1.011001100110011001100110	3
1.409999966621399	1.0	1.4099997878074646	1.409999966621399	+1.011010001111010110111111	+1.011010001111010111000010	7
1.4199999570846558	1.0	1.4199997782707214	1.4199999570846558	+1.011010111000010100011011	+1.011010111000010100011110	3
1.4299999475479126	1.0	1.4299997687339783	1.4299999475479126	+1.011011100001010001110111	+1.011011100001010001111010	4
1.4399999976158142	1.0	1.4399998188018799	1.4399999976158142	+1.011100001010001111010100	+1.011100001010001111010111	2
1.449999988079071	1.0	1.4499998092651367	1.449999988079071	+1.011100110011001100110000	+1.011100110011001100110011	2
1.4599999785423279	1.0	1.4599997997283936	1.4599999785423279	+1.011101011100001010001100	+1.011101011100001010001111	2
1.4699999690055847	1.0	1.4699997901916504	1.4699999690055847	+1.011110000101000111101000	+1.011110000101000111101011	2
1.4799999594688416	1.0	1.4799997806549072	1.4799999594688416	+1.011110101110000101000100	+1.011110101110000101000111	2
1.4899999499320984	1.0	1.489999771118164	1.4899999499320984	+1.011111010111000010100000	+1.011111010111000010100011	2
1.5	1.0	1.4999998807907104	1.5	+1.011111111111111111111110	+1.100000000000000000000000	24
1.5099999904632568	1.0	1.5099998116493225	1.5099999904632568	+1.100000101000111101011001	+1.100000101000111101011100	3
1.5199999809265137	1.0	1.5199998021125793	1.5199999809265137	+1.100001010001111010110101	+1.100001010001111010111000	4
1.5299999713897705	1.0	1.5299997925758362	1.5299999713897705	+1.100001111010111000010001	+1.100001111010111000010100	3
1.5399999618530273	1.0	1.539999783039093	1.5399999618530273	+1.100010100011110101101101	+1.100010100011110101110000	5
1.5499999523162842	1.0	1.5499997735023499	1.5499999523162842	+1.100011001100110011001001	+1.100011001100110011001100	3
1.559999942779541	1.0	1.5599997639656067	1.559999942779541	+1.100011110101110000100101	+1.100011110101110000101000	4
1.5699999928474426	1.0	1.5699998140335083	1.5699999928474426	+1.100100011110101110000010	+1.100100011110101110000101	3
1.5799999833106995	1.0	1.5799998044967651	1.5799999833106995	+1.100101000111101011011110	+1.100101000111101011100001	6
1.5899999737739563	1.0	1.589999794960022	1.5899999737739563	+1.100101110000101000111010	+1.100101110000101000111101	3
1.5999999642372131	1.0	1.5999998450279236	1.5999999642372131	+1.100110011001100110010111	+1.100110011001100110011001	4
1.60999995470047	1.0	1.6099998354911804	1.60999995470047	+1.100111000010100011110011	+1.100111000010100011110101	3
1.6199999451637268	1.0	1.6199998259544373	1.6199999451637268	+1.100111101011100001001111	+1.100111101011100001010001	5
1.6299999952316284	1.0	1.629999816417694	1.6299999952316284	+1.101000010100011110101011	+1.101000010100011110101110	3
1.6399999856948853	1.0	1.639999806880951	1.6399999856948853	+1.101000111101011100000111	+1.101000111101011100001010	4
1.649999976158142	1.0	1.6499997973442078	1.649999976158142	+1.101001100110011001100011	+1.101001100110011001100110	3
1.659999966621399	1.0	1.6599997878074646	1.659999966621399	+1.101010001111010110111111	+1.101010001111010111000010	7
1.6699999570846558	1.0	1.6699997186660767	1.6699999570846558	+1.101010111000010100011010	+1.101010111000010100011110	3
1.6799999475479126	1.0	1.6799997091293335	1.6799999475479126	+1.101011100001010001110110	+1.101011100001010001111010	4
1.6899999976158142	1.0	1.689999759197235	1.6899999976158142	+1.101100001010001111010011	+1.101100001010001111010111	3
1.699999988079071	1.0	1.6999998092651367	1.699999988079071	+1.101100110011001100110000	+1.101100110011001100110011	2
1.7099999785423279	1.0	1.7099997997283936	1.7099999785423279	+1.101101011100001010001100	+1.101101011100001010001111	2
